Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (A),Sun Angle (degrees)
148.13,29.293,28.876,8.178,1.275,21.6
148.25,29.293,28.964,8.178,1.275,28.8
148.34,29.293,28.964,8.168,1.275,28.8
148.45,29.293,28.964,8.228,1.315,28.8
148.54,29.293,28.964,8.178,1.265,28.8
148.65,29.468,28.964,8.168,1.275,28.8
148.75,29.293,28.876,8.447,1.534,28.8
148.84,29.293,28.876,8.188,1.285,28.8
148.97,29.293,28.876,8.168,1.275,28.8
149.06,29.293,28.876,8.278,1.365,28.8
149.16,29.293,28.788,8.686,1.773,28.8
149.26,29.206,28.788,8.178,1.275,28.8
149.36,29.733,28.788,8.178,1.165,28.8
149.48,29.293,28.788,8.278,1.355,28.8
149.69,29.293,28.788,8.188,1.285,28.8
149.79,30.087,28.788,8.168,1.275,36
149.88,29.206,27.742,8.178,1.275,36
150.01,30.087,28.7,8.178,1.275,36
150.1,30.176,28.7,8.178,1.275,36
150.19,29.293,28.7,8.178,1.275,36
150.28,30.087,28.7,8.168,1.275,36
150.38,29.293,28.788,8.178,1.275,36
150.49,29.293,28.7,8.178,1.275,36
150.59,28.597,28.7,8.178,1.255,36
150.68,29.293,28.7,8.178,1.175,36
150.78,29.293,28.7,8.168,1.275,36
150.9,28.597,28.7,8.178,1.126,36
151,29.293,28.7,8.178,1.175,36
151.09,29.293,28.7,8.178,1.086,36
151.18,29.293,28.7,8.178,1.245,36
151.29,29.293,28.7,8.168,1.275,36
151.39,29.293,28.7,8.178,1.414,36
151.48,29.293,28.7,8.178,1.295,36
151.58,29.293,28.7,8.178,1.275,36
151.68,29.293,28.7,8.178,1.275,36
151.79,29.293,28.7,8.168,1.275,36
151.9,29.293,28.7,8.178,1.265,36
151.98,29.293,28.7,8.178,1.275,36
152.08,29.293,28.7,8.178,1.285,36
152.2,29.293,28.788,8.178,1.275,36
152.3,29.293,28.7,8.168,1.155,36
152.41,29.293,28.788,8.686,1.773,36
152.5,29.293,29.585,8.178,1.275,36
152.58,29.293,28.788,8.178,1.285,36
152.7,29.293,29.585,8.178,1.275,36
152.79,29.293,28.788,8.278,1.355,36
152.89,29.293,28.788,8.178,1.275,36
153,28.597,28.788,8.178,1.245,36
153.1,29.293,28.788,8.188,1.285,36
153.2,29.293,28.788,8.676,1.763,36
153.31,29.293,29.585,8.178,1.275,36
153.42,29.381,28.788,8.178,1.255,36
153.53,29.293,28.788,8.178,1.275,36
153.64,29.293,28.788,8.168,1.275,36
153.73,28.683,28.089,8.178,1.255,36
153.85,29.293,28.876,8.188,1.275,36
153.94,29.381,28.788,8.278,1.365,36
154.06,29.381,28.788,8.168,1.275,36
154.14,29.031,28.176,8.178,1.275,36
154.25,29.381,28.876,8.088,1.175,36
154.35,29.381,28.876,8.178,1.275,36
154.46,29.381,28.876,8.168,1.275,36
154.57,29.381,28.876,8.178,1.165,36
154.66,29.381,28.876,8.178,1.275,36
154.78,29.381,28.876,8.178,1.414,36
154.87,29.381,28.876,8.168,1.275,36
154.99,29.381,28.876,8.178,1.245,36
155.08,29.381,28.876,8.058,1.146,36
155.21,29.381,29.764,8.178,1.275,36
155.3,29.381,28.876,8.198,1.285,36
155.41,29.381,28.876,8.178,1.275,36
155.5,29.381,28.876,8.178,1.126,36
155.62,29.381,28.876,8.168,1.275,36
155.71,29.381,29.764,8.178,1.275,36
155.81,29.381,28.876,8.178,1.245,36
155.93,29.381,28.876,8.417,1.514,36
156.02,29.381,28.876,8.168,1.275,36
156.15,29.381,28.964,8.178,1.165,36
156.24,29.381,28.964,8.417,1.504,36
156.36,29.381,28.876,8.178,1.275,36
156.45,28.683,28.176,8.168,1.275,36
156.57,29.381,28.876,8.178,1.255,36
156.65,29.381,28.964,8.417,1.514,36
156.78,29.381,28.964,8.178,1.275,36
